lecture_id,campus,building,room_id
A0244,南大沢,6号,306
A0245,南大沢,6号,307
A0248,南大沢,6号,303
A0249,南大沢,6号,311
A0250,南大沢,6号,312
A0251,南大沢,6号,104
A0252,南大沢,6号,310
A0253,南大沢,6号,213
A0254,南大沢,6号,313
A0255,南大沢,6号,308
A0256,南大沢,6号,309
A0257,南大沢,6号,106
A0258,南大沢,6号,201
A0259,南大沢,6号,210
A0260,南大沢,6号,211
A0261,南大沢,6号,403
A0262,南大沢,6号,205
A0263,南大沢,6号,204
A0264,南大沢,6号,202
A0265,南大沢,6号,208
A0266,南大沢,6号,209
A0267,南大沢,AV棟,163
A0268,南大沢,1号,330
A0269,南大沢,1号,340
A0270,南大沢,1号,350
A0271,南大沢,6号,303
A0272,南大沢,6号,311
A0273,南大沢,6号,312
A0274,南大沢,6号,104
A0275,南大沢,6号,310
A0276,南大沢,6号,213
A0277,南大沢,6号,313
A0278,南大沢,6号,308
A0279,南大沢,6号,309
A0280,南大沢,6号,106
A0281,南大沢,6号,201
A0282,南大沢,6号,210
A0283,南大沢,6号,211
A0284,南大沢,6号,403
A0285,南大沢,6号,205
A0286,南大沢,6号,204
A0287,南大沢,6号,202
A0288,南大沢,6号,208
A0289,南大沢,6号,209
A0290,南大沢,AV棟,163
A0291,南大沢,1号,340
A0292,南大沢,1号,330
A0293,南大沢,1号,320
A0294,南大沢,6号,201
A0295,南大沢,6号,403
A0296,南大沢,1号,304
A0297,南大沢,1号,102
A0298,南大沢,1号,104
A0299,南大沢,6号,210
A0300,南大沢,6号,211
A0301,南大沢,6号,207
A0302,南大沢,6号,203
A0303,南大沢,6号,204
A0305,南大沢,6号,205
A0306,南大沢,6号,212
A0307,南大沢,6号,206
A0308,南大沢,1号,105
A0309,南大沢,6号,211
A0310,南大沢,1号,202
A0311,南大沢,6号,211
A0312,南大沢,6号,207
A0313,南大沢,6号,104
A0314,南大沢,6号,104
A0315,南大沢,6号,203
A0316,南大沢,6号,211
A0317,南大沢,6号,207
A0318,南大沢,6号,104
A0319,南大沢,6号,104
A0320,南大沢,6号,203
A0321,南大沢,6号,201
A0322,南大沢,6号,303
A0323,南大沢,6号,104
A0324,南大沢,6号,304
A0325,南大沢,6号,208
A0326,南大沢,6号,209
A0327,南大沢,6号,211
A0328,南大沢,6号,212
A0329,南大沢,AV棟,162
A0330,南大沢,6号,403
A0331,南大沢,6号,301
A0332,南大沢,6号,308
A0333,南大沢,6号,309
A0334,南大沢,6号,310
A0335,南大沢,6号,311
A0336,南大沢,6号,312
A0337,南大沢,6号,313
A0338,南大沢,6号,210
A0339,南大沢,6号,213
A0340,南大沢,6号,301
A0341,南大沢,6号,304
A0343,南大沢,6号,201
A0344,南大沢,6号,303
A0345,南大沢,6号,104
A0346,南大沢,6号,304
A0347,南大沢,6号,208
A0348,南大沢,6号,209
A0349,南大沢,6号,211
A0350,南大沢,6号,212
A0351,南大沢,AV棟,162
A0352,南大沢,6号,403
A0353,南大沢,6号,301
A0354,南大沢,6号,308
A0355,南大沢,6号,309
A0356,南大沢,6号,310
A0357,南大沢,6号,311
A0358,南大沢,6号,312
A0359,南大沢,6号,313
A0360,南大沢,6号,210
A0361,南大沢,6号,213
A0362,南大沢,6号,301
A0363,南大沢,6号,304
A0365,南大沢,6号,301
A0366,南大沢,6号,308
A0367,南大沢,6号,309
A0368,南大沢,6号,310
A0369,南大沢,6号,311
A0370,南大沢,6号,312
A0371,南大沢,6号,313
A0372,南大沢,6号,105
A0373,南大沢,6号,106
A0374,南大沢,6号,210
A0375,南大沢,6号,203
A0376,南大沢,6号,212
A0377,南大沢,6号,303
A0378,南大沢,6号,213
A0379,南大沢,6号,208
A0380,南大沢,6号,104
A0381,南大沢,6号,304
A0382,南大沢,6号,211
A0383,南大沢,6号,209
A0384,南大沢,6号,404
A0385,南大沢,1号,330
A0388,南大沢,6号,302
A0389,南大沢,6号,301
A0390,南大沢,6号,308
A0391,南大沢,6号,309
A0392,南大沢,6号,310
A0393,南大沢,6号,311
A0394,南大沢,6号,312
A0395,南大沢,6号,313
A0396,南大沢,6号,105
A0397,南大沢,6号,106
A0398,南大沢,6号,210
A0399,南大沢,6号,203
A0400,南大沢,6号,212
A0401,南大沢,6号,303
A0402,南大沢,6号,213
A0403,南大沢,6号,208
A0404,南大沢,6号,104
A0405,南大沢,6号,304
A0406,南大沢,6号,211
A0407,南大沢,6号,209
A0409,南大沢,1号,330
A0410,南大沢,1号,330
A0411,南大沢,6号,302
A0412,南大沢,1号,350
A0413,南大沢,1号,340
A0415,南大沢,1号,340
A0417,南大沢,1号,350
A0418,南大沢,1号,340
A0419,南大沢,1号,103
A0420,南大沢,1号,203
A0421,南大沢,6号,106
A0422,南大沢,6号,201
A0423,南大沢,1号,103
A0424,南大沢,1号,102
A0425,南大沢,1号,103
A0426,南大沢,1号,303
A0427,南大沢,1号,205
A0428,南大沢,1号,203
A0429,南大沢,6号,106
A0430,南大沢,6号,210
A0431,南大沢,6号,213
A0432,南大沢,1号,105
A0433,南大沢,1号,303
A0434,南大沢,1号,302
A0435,南大沢,1号,109
A0436,南大沢,6号,105
A0437,南大沢,6号,104
A0438,南大沢,1号,208
A0439,南大沢,1号,104
A0440,南大沢,6号,211
A0441,南大沢,1号,350
A0442,南大沢,6号,104
A0444,南大沢,6号,201
A0445,南大沢,1号,320
A0446,南大沢,6号,104
A0449,南大沢,6号,201
A0450,南大沢,6号,105
A0453,南大沢,6号,104
A0454,南大沢,6号,209
A0455,南大沢,6号,204
A0456,南大沢,6号,105
A0457,南大沢,6号,301
A0458,南大沢,6号,208
A0459,南大沢,6号,308
A0460,南大沢,6号,309
A0461,南大沢,6号,310
A0462,南大沢,6号,311
A0463,南大沢,6号,312
A0464,南大沢,6号,212
A0465,南大沢,6号,213
A0466,南大沢,6号,303
A0467,南大沢,6号,203
A0468,南大沢,6号,212
A0469,南大沢,6号,213
A0470,南大沢,6号,106
A0471,南大沢,AV棟,162
A0472,南大沢,AV棟,163
A0473,南大沢,6号,207
A0474,南大沢,6号,202
A0475,南大沢,6号,403
A0476,南大沢,6号,206
A0477,南大沢,6号,204
A0480,南大沢,6号,301
A0481,南大沢,6号,208
A0482,南大沢,6号,308
A0483,南大沢,6号,309
A0484,南大沢,6号,310
A0485,南大沢,6号,311
A0486,南大沢,6号,312
A0487,南大沢,6号,212
A0488,南大沢,6号,213
A0489,南大沢,6号,303
A0490,南大沢,6号,203
A0491,南大沢,6号,212
A0492,南大沢,6号,213
A0493,南大沢,6号,106
A0494,南大沢,AV棟,162
A0495,南大沢,AV棟,163
A0496,南大沢,6号,207
A0497,南大沢,6号,202
A0498,南大沢,6号,403
A0499,南大沢,6号,206
A0500,南大沢,6号,204
A0503,南大沢,6号,301
A0504,南大沢,6号,302
A0505,南大沢,6号,303
A0506,南大沢,6号,304
A0507,南大沢,6号,305
A0508,南大沢,6号,306
A0509,南大沢,6号,212
A0510,南大沢,6号,213
A0511,南大沢,6号,301
A0512,南大沢,6号,302
A0513,南大沢,6号,303
A0514,南大沢,6号,304
A0516,南大沢,6号,204
A0517,南大沢,6号,212
A0518,南大沢,6号,213
A0519,南大沢,6号,106
A0520,南大沢,AV棟,162
A0521,南大沢,6号,105
A0522,南大沢,6号,202
A0523,南大沢,6号,210
A0524,南大沢,AV棟,163
A0525,南大沢,6号,211
A0526,南大沢,1号,330
